YEAR,STATE,STATE_ABR,CANDIDATE,PARTY,WRITEIN,VOTES,TOTALVOTES
1976,Alabama,AL,"Carter, Jimmy",democrat,FALSE,659170,1182850
1976,Alabama,AL,"Ford, Gerald",republican,FALSE,504070,1182850
1976,Alabama,AL,"Maddox, Lester",american independent party,FALSE,9198,1182850
1976,Alabama,AL,"Bubar, Benjamin """"Ben""""",prohibition,FALSE,6669,1182850
1976,Alabama,AL,"Hall, Gus",communist party use,FALSE,1954,1182850
1976,Alabama,AL,"Macbride, Roger",libertarian,FALSE,1481,1182850
1976,Alabama,AL,,,TRUE,308,1182850
1976,Alaska,AK,"Ford, Gerald",republican,FALSE,71555,123574
1976,Alaska,AK,"Carter, Jimmy",democrat,FALSE,44058,123574
1976,Alaska,AK,"Macbride, Roger",libertarian,FALSE,6785,123574
1976,Alaska,AK,,,TRUE,1176,123574
1976,Arizona,AZ,"Ford, Gerald",republican,FALSE,418642,742719
1976,Arizona,AZ,"Carter, Jimmy",democrat,FALSE,295602,742719
1976,Arizona,AZ,"McCarthy, Eugene """"Gene""""",independent,FALSE,19229,742719
1976,Arizona,AZ,"Macbride, Roger",libertarian,FALSE,7647,742719
1976,Arizona,AZ,"Camejo, Peter",socialist workers,FALSE,928,742719
1976,Arizona,AZ,"Anderson, Thomas J.",american,FALSE,564,742719
1976,Arizona,AZ,"Maddox, Lester",american independent party,FALSE,85,742719
1976,Arizona,AZ,,,TRUE,22,742719
1976,Arkansas,AR,"Carter, Jimmy",democrat,FALSE,498604,767535
1976,Arkansas,AR,"Ford, Gerald",republican,FALSE,267903,767535
1976,Arkansas,AR,,independent,FALSE,639,767535
1976,Arkansas,AR,"Maddox, Lester",american independent party,FALSE,389,767535
1976,California,CA,"Ford, Gerald",republican,FALSE,3882244,7803770
1976,California,CA,"Carter, Jimmy",democrat,FALSE,3742284,7803770
1976,California,CA,"Macbride, Roger",independent,FALSE,56388,7803770
1976,California,CA,"Maddox, Lester",american independent party,FALSE,51098,7803770
1976,California,CA,"Wright, Margaret",peace & freedom,FALSE,41731,7803770
1976,California,CA,"Camejo, Peter",independent,FALSE,17259,7803770
1976,California,CA,"Hall, Gus",independent,FALSE,12766,7803770
1976,Colorado,CO,"Ford, Gerald",republican,FALSE,584278,1081440
1976,Colorado,CO,"Carter, Jimmy",democrat,FALSE,460801,1081440
1976,Colorado,CO,"McCarthy, Eugene """"Gene""""",independent,FALSE,26047,1081440
1976,Colorado,CO,"Macbride, Roger",libertarian,FALSE,5338,1081440
1976,Colorado,CO,"Bubar, Benjamin """"Ben""""",prohibition,FALSE,2886,1081440
1976,Colorado,CO,"Camejo, Peter",socialist workers,FALSE,1122,1081440
1976,Colorado,CO,"Larouche, Lyndon, Jr.",u.s. labor,FALSE,565,1081440
1976,Colorado,CO,"Hall, Gus",communist party use,FALSE,403,1081440
1976,Connecticut,CT,"Ford, Gerald",republican,FALSE,719261,1386355
1976,Connecticut,CT,"Carter, Jimmy",democrat,FALSE,647895,1386355
1976,Connecticut,CT,Scattering,,FALSE,10309,1386355
1976,Connecticut,CT,"Maddox, Lester",american independent party,FALSE,7101,1386355
1976,Connecticut,CT,"Larouche, Lyndon, Jr.",u.s. labor,FALSE,1789,1386355
1976,Delaware,DE,"Carter, Jimmy",democrat,FALSE,122461,235642
1976,Delaware,DE,"Ford, Gerald",republican,FALSE,109780,235642
1976,Delaware,DE,,no party affiliation,FALSE,2432,235642
1976,Delaware,DE,"Anderson, Thomas J.",american,FALSE,645,235642
1976,Delaware,DE,"Larouche, Lyndon, Jr.",u.s. labor,FALSE,135,235642
1976,Delaware,DE,"Bubar, Benjamin """"Ben""""",prohibition,FALSE,103,235642
1976,Delaware,DE,,socialist labor,FALSE,86,235642
1976,District of Columbia,DC,"Carter, Jimmy",democrat,FALSE,137818,168830
1976,District of Columbia,DC,"Ford, Gerald",republican,FALSE,27873,168830
1976,District of Columbia,DC,Other,,FALSE,1656,168830
1976,District of Columbia,DC,,independent,FALSE,1195,168830
1976,District of Columbia,DC,,,TRUE,288,168830
1976,Florida,FL,"Carter, Jimmy",democrat,FALSE,1636000,3150631
1976,Florida,FL,"Ford, Gerald",republican,FALSE,1469531,3150631
1976,Florida,FL,"McCarthy, Eugene """"Gene""""",independent,FALSE,23643,3150631
1976,Florida,FL,"Anderson, Thomas J.",american,FALSE,21325,3150631
1976,Florida,FL,,,TRUE,132,3150631
1976,Georgia,GA,"Carter, Jimmy",democrat,FALSE,979409,1463152
1976,Georgia,GA,"Ford, Gerald",republican,FALSE,483743,1463152
1976,Hawaii,HI,"Carter, Jimmy",democrat,FALSE,147375,291301
1976,Hawaii,HI,"Ford, Gerald",republican,FALSE,140003,291301
1976,Hawaii,HI,"Macbride, Roger",libertarian,FALSE,3923,291301
1976,Idaho,ID,"Ford, Gerald",republican,FALSE,204151,340932
1976,Idaho,ID,"Carter, Jimmy",democrat,FALSE,126549,340932
1976,Idaho,ID,"Maddox, Lester",american,FALSE,5935,340932
1976,Idaho,ID,"Macbride, Roger",libertarian,FALSE,3558,340932
1976,Idaho,ID,"Larouche, Lyndon, Jr.",u.s. labor,FALSE,739,340932
1976,Illinois,IL,"Ford, Gerald",republican,FALSE,2364269,4721282
1976,Illinois,IL,"Carter, Jimmy",democrat,FALSE,2271295,4721282
1976,Illinois,IL,"McCarthy, Eugene """"Gene""""",independent,FALSE,55939,4721282
1976,Illinois,IL,"Hall, Gus",communist party use,FALSE,9250,4721282
1976,Illinois,IL,"Macbride, Roger",libertarian,FALSE,8057,4721282
1976,Illinois,IL,,,TRUE,4417,4721282
1976,Illinois,IL,"Camejo, Peter",socialist workers,FALSE,3615,4721282
1976,Illinois,IL,"Julius """"Jules"""", Levin",socialist labor,FALSE,2422,4721282
1976,Illinois,IL,"Larouche, Lyndon, Jr.",u.s. labor,FALSE,2018,4721282
1976,Indiana,IN,"Ford, Gerald",republican,FALSE,1183958,2220362
1976,Indiana,IN,"Carter, Jimmy",democrat,FALSE,1014714,2220362
1976,Indiana,IN,"Anderson, Thomas J.",american,FALSE,14048,2220362
1976,Indiana,IN,"Camejo, Peter",socialist workers,FALSE,5695,2220362
1976,Indiana,IN,"Larouche, Lyndon, Jr.",u.s. labor,FALSE,1947,2220362
1976,Iowa,IA,"Ford, Gerald",republican,FALSE,632864,1279303
1976,Iowa,IA,"Carter, Jimmy",democrat,FALSE,619931,1279303
1976,Iowa,IA,"McCarthy, Eugene """"Gene""""",independent,FALSE,20057,1279303
1976,Iowa,IA,"Anderson, Thomas J.",american party of iowa,FALSE,3041,1279303
1976,Iowa,IA,"Macbride, Roger",libertarian,FALSE,1454,1279303
1976,Iowa,IA,"Hall, Gus",communist party use,FALSE,551,1279303
1976,Iowa,IA,Scattering,,FALSE,509,1279303
1976,Iowa,IA,"Camejo, Peter",socialist workers,FALSE,262,1279303
1976,Iowa,IA,"Larouche, Lyndon, Jr.",u.s. labor,FALSE,241,1279303
1976,Iowa,IA,"Zeidler, Frank",socialist u.s.a.,FALSE,233,1279303
1976,Iowa,IA,"Julius """"Jules"""", Levin",socialist labor,FALSE,160,1279303
1976,Kansas,KS,"Ford, Gerald",republican,FALSE,502752,957845
1976,Kansas,KS,"Carter, Jimmy",democrat,FALSE,430421,957845
1976,Kansas,KS,"McCarthy, Eugene """"Gene""""",independent,FALSE,13185,957845
1976,Kansas,KS,"Anderson, Thomas J.",american,FALSE,4724,957845
1976,Kansas,KS,"Macbride, Roger",independent,FALSE,3242,957845
1976,Kansas,KS,"Maddox, Lester",conservative,FALSE,2118,957845
1976,Kansas,KS,"Bubar, Benjamin """"Ben""""",prohibition,FALSE,1403,957845
1976,Kentucky,KY,"Carter, Jimmy",democrat,FALSE,615717,1167142
1976,Kentucky,KY,"Ford, Gerald",republican,FALSE,531852,1167142
1976,Kentucky,KY,"Anderson, Thomas J.",american,FALSE,8308,1167142
1976,Kentucky,KY,"McCarthy, Eugene """"Gene""""",independent,FALSE,6837,1167142
1976,Kentucky,KY,"Maddox, Lester",american independent party,FALSE,2328,1167142
